example_id                                                    | status  | run_time        |
./spec/models/user_spec.rb[1:1:1:1]                           | passed  | 0.00687 seconds |
./spec/models/user_spec.rb[1:2:1]                             | passed  | 0.08939 seconds |
./spec/models/venue_spec.rb[1:1:1]                            | passed  | 0.0115 seconds  |
./spec/models/venue_spec.rb[1:2:1:1]                          | passed  | 0.00826 seconds |
./spec/models/venue_spec.rb[1:2:2:1]                          | passed  | 0.01064 seconds |
./spec/models/venue_spec.rb[1:2:3:1]                          | passed  | 0.00081 seconds |
./spec/models/venue_spec.rb[1:3:1:1:1]                        | passed  | 0.01995 seconds |
./spec/models/venue_spec.rb[1:3:1:1:2]                        | passed  | 0.02841 seconds |
./spec/models/venue_spec.rb[1:3:1:1:3]                        | passed  | 0.02529 seconds |
./spec/models/venue_spec.rb[1:3:1:1:4]                        | passed  | 0.02657 seconds |
./spec/models/venue_spec.rb[1:3:2:1:1]                        | passed  | 0.01609 seconds |
./spec/models/venue_spec.rb[1:3:2:2:1:1]                      | passed  | 0.02116 seconds |
./spec/models/venue_spec.rb[1:3:2:2:2:1]                      | passed  | 0.02908 seconds |
./spec/models/venue_spec.rb[1:4:1:1]                          | passed  | 0.02446 seconds |
./spec/models/venue_spec.rb[1:4:2:1]                          | passed  | 1.57 seconds    |
./spec/models/venue_spec.rb[1:5:1:1]                          | passed  | 0.02466 seconds |
./spec/models/venue_spec.rb[1:5:2:1]                          | passed  | 0.01641 seconds |
./spec/models/venue_user_spec.rb[1:1]                         | pending | 0.00002 seconds |
./spec/requests/sessions_spec.rb[1:1]                         | passed  | 2.77 seconds    |
./spec/requests/sessions_spec.rb[1:2]                         | passed  | 0.18581 seconds |
./spec/requests/sessions_spec.rb[1:3]                         | passed  | 0.18262 seconds |
./spec/requests/status_spec.rb[1:1:1]                         | passed  | 0.65886 seconds |
./spec/requests/status_spec.rb[1:1:2]                         | passed  | 0.58644 seconds |
./spec/requests/status_spec.rb[1:1:3]                         | passed  | 0.0637 seconds  |
./spec/requests/status_spec.rb[1:1:4]                         | passed  | 0.39524 seconds |
./spec/requests/status_spec.rb[1:1:5]                         | passed  | 0.40228 seconds |
./spec/requests/status_spec.rb[1:1:6]                         | passed  | 0.46184 seconds |
./spec/requests/status_spec.rb[1:2:1]                         | passed  | 0.00329 seconds |
./spec/requests/venue_request_spec.rb[1:1:1]                  | passed  | 0.61619 seconds |
